Chart_ID;Song_Title;Song_Subtitle;Song_Artist;Song_Length;MIN_BPM;MAX_BPM;Technical_Notation;Difficulty_Name;Difficulty_Rating;Step_Artist;Pack;Type
29082;Exodus; ;Noisia & Mayhem;00:01:48;86,00;172,00;;Hard;9;Renard;Mungyodance 3;single
29083;Exodus; ;Noisia & Mayhem;00:01:48;86,00;172,00;;Medium;5;Renard;Mungyodance 3;single
29084;Exodus; ;Noisia & Mayhem;00:01:48;86,00;172,00;;Easy;3;Renard;Mungyodance 3;single
29085;Explosive; ;Bond;00:01:45;115,00;115,00;;Hard;10;pyroko;Mungyodance 3;single
29086;Explosive; ;Bond;00:01:45;115,00;115,00;;Medium;8;pyroko;Mungyodance 3;single
29087;Explosive; ;Bond;00:01:45;115,00;115,00;;Easy;5;pyroko;Mungyodance 3;single
29088;Explosive; ;Bond;00:01:45;115,00;115,00;;Challenge;14;;Mungyodance 3;single
29089;Face Was; ;m1dy;00:01:42;210,00;420,00;;Challenge;12;Renard;Mungyodance 3;single
29090;F.B.Eye Agent; ;Omicron Complex;00:01:58;190,00;190,00;;Challenge;10;pyroko;Mungyodance 3;single
29091;F.B.Eye Agent; ;Omicron Complex;00:01:58;190,00;190,00;;Hard;9;pyroko;Mungyodance 3;single
29092;F.B.Eye Agent; ;Omicron Complex;00:01:58;190,00;190,00;;Medium;8;pyroko;Mungyodance 3;single
29093;F.B.Eye Agent; ;Omicron Complex;00:01:58;190,00;190,00;;Easy;5;pyroko;Mungyodance 3;single
29094;Fear; ;Adam Freeland;00:01:55;91,00;91,00;;Challenge;9;Renard;Mungyodance 3;single
29095;Fear; ;Adam Freeland;00:01:55;91,00;91,00;;Hard;8;Renard;Mungyodance 3;single
29096;Fear; ;Adam Freeland;00:01:55;91,00;91,00;;Medium;7;Renard;Mungyodance 3;single
29097;Fear; ;Adam Freeland;00:01:55;91,00;91,00;;Easy;2;Renard;Mungyodance 3;single
29098;Feel the Soul; ;Seo Taiji;00:01:43;93,80;93,80;;Hard;9;Renard;Mungyodance 3;single
29099;Feel the Soul; ;Seo Taiji;00:01:43;93,80;93,80;;Medium;5;Renard;Mungyodance 3;single
29100;Feel the Soul; ;Seo Taiji;00:01:43;93,80;93,80;;Easy;2;Renard;Mungyodance 3;single
29101;Filth In The Beauty; ;The GazettE;00:01:48;120,00;260,00;;Hard;9;Renard;Mungyodance 3;single
29102;Filth In The Beauty; ;The GazettE;00:01:48;120,00;260,00;;Medium;7;Renard;Mungyodance 3;single
29103;Filth In The Beauty; ;The GazettE;00:01:48;120,00;260,00;;Easy;4;Renard;Mungyodance 3;single
29104;Filth In The Beauty; ;The GazettE;00:01:48;120,00;260,00;;Challenge;10;Renard;Mungyodance 3;single
29105;Firebird; ;KitsuneÂ˛;00:01:38;200,00;200,00;;Challenge;11;Renard;Mungyodance 3;single
29106;Firebird; ;KitsuneÂ˛;00:01:38;200,00;200,00;;Hard;9;Renard;Mungyodance 3;single
29107;Firebird; ;KitsuneÂ˛;00:01:38;200,00;200,00;;Medium;6;Renard;Mungyodance 3;single
29108;Firebird; ;KitsuneÂ˛;00:01:38;200,00;200,00;;Easy;3;Renard;Mungyodance 3;single
29109;Flatline; ;TC;00:01:52;86,36;345,45;;Challenge;9;Renard;Mungyodance 3;single
29110;Flatline; ;TC;00:01:52;86,36;345,45;;Medium;6;Renard;Mungyodance 3;single
29111;Flatline; ;TC;00:01:52;86,36;345,45;;Easy;3;pyroko;Mungyodance 3;single
29112;Flatline; ;TC;00:01:52;86,36;345,45;;Hard;8;Renard;Mungyodance 3;single
29113;Florida; ;Emotion & Kettu feat. Hex;00:01:46;140,08;140,08;;Challenge;10;Renard;Mungyodance 3;single
29114;Florida; ;Emotion & Kettu feat. Hex;00:01:46;140,08;140,08;;Hard;9;Renard;Mungyodance 3;single
