Chart_ID|Song_Title|Song_Subtitle|Song_Artist|Song_Length|MIN_BPM|MAX_BPM|Technical_Notation|Difficulty_Name|Difficulty_Rating|Step_Artist|Pack|Type
29600|Somnambulist| |BT|111|136,00|136,00| |Medium|6|Spectere|Mungyodance 3|single
29601|Somnambulist| |BT|111|136,00|136,00| |Easy|3|Spectere|Mungyodance 3|single
29602|Somnambulist| |BT|111|136,00|136,00| |Challenge|12|Copied from Spectere|Mungyodance 3|single
29603|Speak Sins| |MGD Assault Force|92|180,00|180,00| |Hard|12|Renard|Mungyodance 3|single
29604|Speak Sins| |MGD Assault Force|92|180,00|180,00| |Medium|10|Renard|Mungyodance 3|single
29605|Speak Sins| |MGD Assault Force|92|180,00|180,00| |Easy|9|Renard|Mungyodance 3|single
29606|Speak Sins| |MGD Assault Force|92|180,00|180,00| |Challenge|14|Copied from Renard|Mungyodance 3|single
29607|Special Place| |Sub Focus|95|86,86|173,72| |Hard|9|Renard|Mungyodance 3|single
29608|Special Place| |Sub Focus|95|86,86|173,72| |Medium|5|Renard|Mungyodance 3|single
29609|Special Place| |Sub Focus|95|86,86|173,72| |Easy|3|Renard|Mungyodance 3|single
29610|Speed Strike| |Kitsune²|97|200,00|200,00| |Hard|10|Renard|Mungyodance 3|single
29611|Speed Strike| |Kitsune²|97|200,00|200,00| |Medium|9|Renard|Mungyodance 3|single
29612|Speed Strike| |Kitsune²|97|200,00|200,00| |Easy|8|Renard|Mungyodance 3|single
29613|Speed Strike| |Kitsune²|97|200,00|200,00| |Challenge|14|Copied from Renard|Mungyodance 3|single
29614|Spit On You| |Angerfist|95|115,00|230,00| |Hard|9|Renard|Mungyodance 3|single
29615|Spit On You| |Angerfist|95|115,00|230,00| |Medium|7|JS|Mungyodance 3|single
29616|Spit On You| |Angerfist|95|115,00|230,00| |Easy|4|JS|Mungyodance 3|single
29617|Splatterhouse| |SamplingMasters YOU|94|170,00|250,00| |Hard|9|Renard|Mungyodance 3|single
29618|Splatterhouse| |SamplingMasters YOU|94|170,00|250,00| |Challenge|10|Renard|Mungyodance 3|single
29619|Splatterhouse| |SamplingMasters YOU|94|170,00|250,00| |Medium|8|JS|Mungyodance 3|single
29620|Splatterhouse| |SamplingMasters YOU|94|170,00|250,00| |Easy|5|JS|Mungyodance 3|single
29621|Start Rocking| |The Pitcher|105|145,00|145,00| |Hard|8|Renard|Mungyodance 3|single
29622|Start Rocking| |The Pitcher|105|145,00|145,00| |Medium|5|Renard|Mungyodance 3|single
29623|Start Rocking| |The Pitcher|105|145,00|145,00| |Easy|2|Renard|Mungyodance 3|single
29624|Start Rocking| |The Pitcher|105|145,00|145,00| |Challenge|11|Copied from Renard|Mungyodance 3|single
29625|Steel Tough| |Kettu|96|92,50|185,00| |Challenge|11|Renard|Mungyodance 3|single
29626|Steel Tough| |Kettu|96|92,50|185,00| |Hard|9|Renard|Mungyodance 3|single
29627|Steel Tough| |Kettu|96|92,50|185,00| |Medium|6|Renard|Mungyodance 3|single
29628|Steel Tough| |Kettu|96|92,50|185,00| |Easy|3|Renard|Mungyodance 3|single
29629|Step on Stage| |Jaql|112|72,50|72,50| |Challenge|11|Copied from Renard|Mungyodance 3|single
29630|Still Alive| |Jonathan Coultan feat Ellen McLain|115|120,00|120,00| |Hard|7|Renard|Mungyodance 3|single
29631|Still Alive| |Jonathan Coultan feat Ellen McLain|115|120,00|120,00| |Medium|4|Renard|Mungyodance 3|single
29632|Still Alive| |Jonathan Coultan feat Ellen McLain|115|120,00|120,00| |Easy|2|Renard|Mungyodance 3|single
29633|Stratosphere| |Stratovarius|122|87,50|175,00| |Challenge|14|Renard|Mungyodance 3|single
29634|Sunrise (Jackal Queenston Mix)| |MGD-Crew feat. Kitsune²|117|182,23|182,23| |Hard|9|Renard|Mungyodance 3|single
29635|Sunrise (Jackal Queenston Mix)| |MGD-Crew feat. Kitsune²|117|182,23|182,23| |Medium|5|Renard|Mungyodance 3|single
29636|Sunrise (Jackal Queenston Mix)| |MGD-Crew feat. Kitsune²|117|182,23|182,23| |Easy|3|Renard|Mungyodance 3|single
29637|Sunrise (Jackal Queenston Mix)| |MGD-Crew feat. Kitsune²|117|182,23|182,23| |Challenge|11|Renard|Mungyodance 3|single
29638|Supadupafly| |666|102|137,87|137,87| |Challenge|10|Renard|Mungyodance 3|single
29639|Supadupafly| |666|102|137,87|137,87| |Hard|8|Renard|Mungyodance 3|single
29640|Supadupafly| |666|102|137,87|137,87| |Medium|6|Renard|Mungyodance 3|single
29641|Supadupafly| |666|102|137,87|137,87| |Easy|3|Renard|Mungyodance 3|single
29642|Sweet Dreams| |Noisia|108|172,00|172,00| |Challenge|11|Renard|Mungyodance 3|single
29643|Sweet Dreams| |Noisia|108|172,00|172,00| |Hard|9|Renard|Mungyodance 3|single
29644|Sweet Dreams| |Noisia|108|172,00|172,00| |Medium|6|Renard|Mungyodance 3|single
29645|Sweet Dreams| |Noisia|108|172,00|172,00| |Easy|3|Renard|Mungyodance 3|single
29646|Szamar Madar| |Venetian Snares|118|174,00|174,00| |Hard|9|Renard|Mungyodance 3|single
29647|Szamar Madar| |Venetian Snares|118|174,00|174,00| |Medium|6|WinDEU|Mungyodance 3|single
29648|Szamar Madar| |Venetian Snares|118|174,00|174,00| |Easy|1|WinDEU|Mungyodance 3|single
29649|Taito No Suika| |bermei.inazawa feat Shimoduki Haruka|127|90,00|180,00| |Hard|12|Renard|Mungyodance 3|single
29650|Taito No Suika| |bermei.inazawa feat Shimoduki Haruka|127|90,00|180,00| |Easy|2|WinDEU|Mungyodance 3|single
29651|Taito No Suika| |bermei.inazawa feat Shimoduki Haruka|127|90,00|180,00| |Medium|7|WinDEU|Mungyodance 3|single
29652|Taotao Teknoversio| |Lastenlaulut|100|130,00|180,00| |Hard|12|Renard|Mungyodance 3|single
29653|Taotao Teknoversio| |Lastenlaulut|100|130,00|180,00| |Challenge|13|Renard|Mungyodance 3|single
29654|Taotao Teknoversio| |Lastenlaulut|100|130,00|180,00| |Medium|9|Renard|Mungyodance 3|single
29655|Taotao Teknoversio| |Lastenlaulut|100|130,00|180,00| |Easy|7|Renard|Mungyodance 3|single
29656|Teardrop| |Massive Attack|90|38,49|76,98| |Hard|7|Renard|Mungyodance 3|single
29657|Teardrop| |Massive Attack|90|38,49|76,98| |Medium|4|Renard|Mungyodance 3|single
29658|Teardrop| |Massive Attack|90|38,49|76,98| |Easy|2|Renard|Mungyodance 3|single
29659|The Beast and the Harlot| |Avenged Svenfold|134|155,00|155,00| |Hard|9|Appleman|Mungyodance 3|single
29660|The Beast and the Harlot| |Avenged Svenfold|134|155,00|155,00| |Challenge|12|Renard & Appleman|Mungyodance 3|single
29661|The Beast and the Harlot| |Avenged Svenfold|134|155,00|155,00| |Medium|5|Renard|Mungyodance 3|single
29662|The Beast and the Harlot| |Avenged Svenfold|134|155,00|155,00| |Easy|3|Renard|Mungyodance 3|single
29663|The Big Orange Love| |The Flashbulb|107|100,00|100,00| |Challenge|9|Renard|Mungyodance 3|single
29664|The Big Orange Love| |The Flashbulb|107|100,00|100,00| |Hard|6|Renard|Mungyodance 3|single
29665|The Big Orange Love| |The Flashbulb|107|100,00|100,00| |Medium|5|WinDEU|Mungyodance 3|single
29666|The Big Orange Love| |The Flashbulb|107|100,00|100,00| |Easy|2|WinDEU|Mungyodance 3|single
29667|The Call| |Gammer|103|170,00|170,00| |Hard|9|Renard|Mungyodance 3|single
