Chart_ID;Song_Title;Song_Subtitle;Song_Artist;Song_Length;Song_BPM;Technical_Notation;Difficulty_Name;Difficulty_Rating;Step_Artist;Pack
84;The Cell; ;DRS vs MBK ft Madsin;185;150.000000;No Tech;Medium;7;Tidek;Bass Tester EXTREME
85;The Cell; ;DRS vs MBK ft Madsin;185;150.000000;No Tech;Hard;9;Tidek;Bass Tester EXTREME
86;The Cell; ;DRS vs MBK ft Madsin;185;150.000000;STR 22*18*;Challenge;12;Tidek;Bass Tester EXTREME
87;Woho; ;BlackStripe;193;130.557007;No Tech;Beginner;1;Axor;Bass Tester EXTREME
88;Woho; ;BlackStripe;193;130.557007;No Tech;Easy;3;Axor;Bass Tester EXTREME
89;Woho; ;BlackStripe;193;130.557007;XO;Medium;6;Axor;Bass Tester EXTREME
90;Woho; ;BlackStripe;193;130.557007;FL;Hard;8;Axor;Bass Tester EXTREME
91;Woho; ;BlackStripe;193;130.557007;XO FL FS-;Challenge;10;Axor;Bass Tester EXTREME
92;WOW!!!!!!!!!!; ;Camellia;188;160.000000;No Tech;Beginner;2;AltVoid;Bass Tester EXTREME
93;WOW!!!!!!!!!!; ;Camellia;188;160.000000;JA;Easy;5;AltVoid;Bass Tester EXTREME
94;WOW!!!!!!!!!!; ;Camellia;188;160.000000;DS JU JH;Medium;9;AltVoid;Bass Tester EXTREME
95;WOW!!!!!!!!!!; ;Camellia;188;160.000000;BR HS;Hard;11;AltVoid;Bass Tester EXTREME
96;WOW!!!!!!!!!!; ;Camellia;188;160.000000;BR++ DR;Challenge;13;AltVoid;Bass Tester EXTREME
97;Yallah Habibi; ;Broken Minds x MBK x MC Prime;178;105.000000;No Tech;Beginner;1;Tidek;Bass Tester EXTREME
98;Yallah Habibi; ;Broken Minds x MBK x MC Prime;178;105.000000;No Tech;Easy;3;Tidek;Bass Tester EXTREME
99;Yallah Habibi; ;Broken Minds x MBK x MC Prime;178;105.000000;No Tech;Medium;6;Tidek;Bass Tester EXTREME
100;Yallah Habibi; ;Broken Minds x MBK x MC Prime;178;105.000000;XO FS JU DT-;Hard;8;Tidek;Bass Tester EXTREME
101;Yallah Habibi; ;Broken Minds x MBK x MC Prime;178;105.000000;BXF JU BU;Challenge;11;Tidek;Bass Tester EXTREME
102;804; ;RoughSketch;162;804.000000;No Tech;Beginner;2;AltVoid;Bass Tester EXTREME 2
103;804; ;RoughSketch;162;804.000000;No Tech;Easy;5;AltVoid;Bass Tester EXTREME 2
104;804; ;RoughSketch;162;804.000000;No Tech;Medium;9;AltVoid;Bass Tester EXTREME 2
105;804; ;RoughSketch;162;804.000000;BU;Hard;12;AltVoid;Bass Tester EXTREME 2
106;804; ;RoughSketch;162;804.000000;STR@201 BT+ BR DR;Challenge;14;AltVoid;Bass Tester EXTREME 2
107;anime dziefczynka 2;(+18);grupa trupa x czubiBubi;172;100.000 - 161.954;XM;Beginner;1;Tidek;Bass Tester EXTREME 2
108;anime dziefczynka 2;(+18);grupa trupa x czubiBubi;172;100.000 - 161.954;XM;Easy;3;Tidek;Bass Tester EXTREME 2
109;anime dziefczynka 2;(+18);grupa trupa x czubiBubi;172;100.000 - 161.954;XM;Medium;6;Tidek;Bass Tester EXTREME 2
110;anime dziefczynka 2;(+18);grupa trupa x czubiBubi;172;100.000 - 161.954;XM;Hard;8;Tidek;Bass Tester EXTREME 2
111;anime dziefczynka 2;(+18);grupa trupa x czubiBubi;172;100.000 - 161.954;XM XO FS;Challenge;9;Tidek;Bass Tester EXTREME 2
112;Anubis; ;Hommarju;291;175.000000;No Tech;Beginner;1;Ayaka;Bass Tester EXTREME 2
113;Anubis; ;Hommarju;291;175.000000;No Tech;Easy;5;AltVoid;Bass Tester EXTREME 2
114;Anubis; ;Hommarju;291;175.000000;DS-;Medium;7;AltVoid;Bass Tester EXTREME 2
115;Anubis; ;Hommarju;291;175.000000;BU;Hard;10;Ayaka;Bass Tester EXTREME 2
116;Anubis; ;Hommarju;291;175.000000;STR 1/112*/1/1;Challenge;12;Ayaka;Bass Tester EXTREME 2
117;Anubis; ;Hommarju;291;175.000000;STR 15/27*29*/16*;Edit;14;Ayaka;Bass Tester EXTREME 2
118;Believe; ;Sunhiausa;198;120.000000 - 201.000000;XM;Beginner;1;AltVoid;Bass Tester EXTREME 2
119;Believe; ;Sunhiausa;198;120.000000 - 201.000000;XM;Easy;4;AltVoid;Bass Tester EXTREME 2
120;Believe; ;Sunhiausa;198;120.000000 - 201.000000;XM JA;Medium;6;AltVoid;Bass Tester EXTREME 2
121;Believe; ;Sunhiausa;198;120.000000 - 201.000000;XM JU XO;Hard;9;AltVoid;Bass Tester EXTREME 2
122;Believe; ;Sunhiausa;198;120.000000 - 201.000000;XM B+XF+;Challenge;12;AltVoid;Bass Tester EXTREME 2
123;BIG CHUNGUS; ;Endigo x chucha musume;144;190.000000;No Tech;Beginner;2;Tidek;Bass Tester EXTREME 2
124;BIG CHUNGUS; ;Endigo x chucha musume;144;190.000000;No Tech;Easy;6;Tidek;Bass Tester EXTREME 2
125;BIG CHUNGUS; ;Endigo x chucha musume;144;190.000000;XM;Medium;9;Tidek;Bass Tester EXTREME 2
126;BIG CHUNGUS; ;Endigo x chucha musume;144;190.000000;XM DS+ BU;Hard;12;Tidek;Bass Tester EXTREME 2
127;BIG CHUNGUS; ;Endigo x chucha musume;144;190.000000;XM STR XO BU-;Challenge;14;Tidek;Bass Tester EXTREME 2
128;Cat Paradise; ;Laur;190;110.000 - 220.000;XM;Beginner;2;AltVoid;Bass Tester EXTREME 2
129;Cat Paradise; ;Laur;190;110.000 - 220.000;XM;Easy;4;AltVoid;Bass Tester EXTREME 2
130;Cat Paradise; ;Laur;190;110.000 - 220.000;XM XO-;Medium;7;AltVoid;Bass Tester EXTREME 2
131;Cat Paradise; ;Laur;190;110.000 - 220.000;XM+ JU DR RH FS- JA-;Hard;10;AltVoid;Bass Tester EXTREME 2
132;Cat Paradise; ;Laur;190;110.000 - 220.000;XM+ B+X-F BT++ BU;Challenge;14;AltVoid;Bass Tester EXTREME 2
133;Chinese Taxi Driver; ;Hyrule War & La Ravage;185;112.500000;No Tech;Beginner;2;Tidek;Bass Tester EXTREME 2
134;Chinese Taxi Driver; ;Hyrule War & La Ravage;185;112.500000;No Tech;Easy;4;Tidek;Bass Tester EXTREME 2
135;Chinese Taxi Driver; ;Hyrule War & La Ravage;185;112.500000;No Tech;Medium;7;Tidek;Bass Tester EXTREME 2
136;Chinese Taxi Driver; ;Hyrule War & La Ravage;185;112.500000;SJ-;Hard;9;Tidek;Bass Tester EXTREME 2
137;Chinese Taxi Driver; ;Hyrule War & La Ravage;185;112.500000;FS+ SS BU JU SJ- DT- DS-;Challenge;11;Tidek;Bass Tester EXTREME 2
138;Cyaegha;(Laur Remix);USAO;179;200.000000;No Tech;Beginner;2;neyoru;Bass Tester EXTREME 2
139;Cyaegha;(Laur Remix);USAO;179;200.000000;No Tech;Easy;5;neyoru;Bass Tester EXTREME 2
140;Cyaegha;(Laur Remix);USAO;179;200.000000;XO;Medium;9;neyoru;Bass Tester EXTREME 2
141;Cyaegha;(Laur Remix);USAO;179;200.000000;BXF BU JA-;Hard;12;neyoru;Bass Tester EXTREME 2
142;Cyaegha;(Laur Remix);USAO;179;200.000000;STR B+X-F MA- BU-;Challenge;15;neyoru;Bass Tester EXTREME 2
143;Daddy's Big Drum; ;Noizenecio;263;135.000 - 180.000;XM;Beginner;2;AltVoid;Bass Tester EXTREME 2
144;Daddy's Big Drum; ;Noizenecio;263;135.000 - 180.000;XM JA;Easy;5;AltVoid;Bass Tester EXTREME 2
145;Daddy's Big Drum; ;Noizenecio;263;135.000 - 180.000;XM;Medium;7;AltVoid;Bass Tester EXTREME 2
146;Daddy's Big Drum; ;Noizenecio;263;135.000 - 180.000;XM JU+ XO JA-;Hard;9;AltVoid;Bass Tester EXTREME 2
147;Daddy's Big Drum; ;Noizenecio;263;135.000 - 180.000;XM B++XF BU;Challenge;13;AltVoid;Bass Tester EXTREME 2
148;DJ NANMO WAKARAN; ;UniChord;149;180.000000;No Tech;Beginner;1;neyoru;Bass Tester EXTREME 2
149;DJ NANMO WAKARAN; ;UniChord;149;180.000000;No Tech;Easy;5;neyoru;Bass Tester EXTREME 2
150;DJ NANMO WAKARAN; ;UniChord;149;180.000000;JU;Medium;8;neyoru;Bass Tester EXTREME 2
151;DJ NANMO WAKARAN; ;UniChord;149;180.000000;BX-F BT- SS-;Hard;11;neyoru;Bass Tester EXTREME 2
152;DJ NANMO WAKARAN; ;UniChord;149;180.000000;STR B+X-F BT MA- SS-;Challenge;13;neyoru;Bass Tester EXTREME 2
153;Enter the Multiverse; ;Dubscribe;209;145.000000;No Tech;Beginner;2;Tidek;Bass Tester EXTREME 2
154;Enter the Multiverse; ;Dubscribe;209;145.000000;No Tech;Easy;5;Tidek;Bass Tester EXTREME 2
155;Enter the Multiverse; ;Dubscribe;209;145.000000;BXF DS;Medium;7;Tidek;Bass Tester EXTREME 2
156;Enter the Multiverse; ;Dubscribe;209;145.000000;BXF BT DS-;Hard;11;Tidek;Bass Tester EXTREME 2
157;Enter the Multiverse; ;Dubscribe;209;145.000000;STR BX+F+ BU HS BT SS-;Challenge;14;Tidek;Bass Tester EXTREME 2
158;GANG; ;Rooler & Sickmode;135;128.000 - 160.000;No Tech;Beginner;1;Tidek;Bass Tester EXTREME 2
159;GANG; ;Rooler & Sickmode;135;128.000 - 160.000;No Tech;Easy;4;Tidek;Bass Tester EXTREME 2
160;GANG; ;Rooler & Sickmode;135;128.000 - 160.000;DS;Medium;7;Tidek;Bass Tester EXTREME 2
161;GANG; ;Rooler & Sickmode;135;128.000 - 160.000;XO FS JA- RH- ;Hard;9;Tidek;Bass Tester EXTREME 2
